Querying Data... done
Id,Name,CreatedDate,LastModifiedDate
a0Act000005iyLlEAI,"TRAZO Y NIVELACIÓN, CORTE DE TERRENO...",2026-03-23T17:02:14.000+0000,2026-03-23T17:21:58.000+0000
a0Act000006IEvVEAW,CONSTRUCCION DE COMPONENTES VARIOS PARA EL CONTRATO XL4-MP-PA-275-22,2026-04-20T03:22:45.000+0000,2026-04-20T03:22:45.000+0000
a0Act000006IEvWEAW,CONSTRUCCION DE VILLA JR7-A MOCKUP,2026-04-20T03:22:45.000+0000,2026-04-22T07:08:59.000+0000
a0Act000006IEvXEAW,CONSTRUCCION DEL FARO DE NAVEGACION,2026-04-20T03:22:45.000+0000,2026-04-20T03:22:45.000+0000
a0Act000006IEvYEAW,CONSTRUCCIÓN BARDA PERIMETRAL DEL CAMPAMENTO TORTUGUERO,2026-04-20T03:22:45.000+0000,2026-04-22T07:08:54.000+0000
a0Act000006IEvZEAW,CAMPAMENTO TORTUGUERO,2026-04-20T03:22:45.000+0000,2026-04-20T03:22:45.000+0000
a0Act000006IEvaEAG,CONSTRUCCION DE TEMPLO CEREMONIAL Y BOARDWALK,2026-04-20T03:22:45.000+0000,2026-04-20T03:22:45.000+0000
a0Act000006IEvbEAG,"OBRA DENOMINADA CONSTRUCCION DE BATERIA DE FILTROS, EN EL DESARROLLO XALA",2026-04-20T03:22:45.000+0000,2026-04-20T03:22:45.000+0000
a0Act000006IEvcEAG,"OBRA CIVIL, INSTALACIONES Y ACABADOS MODULO G",2026-04-20T03:22:45.000+0000,2026-04-20T03:22:45.000+0000
a0Act000006IEvdEAG,RED DE CONDUCCION DEL SISTEMA HIDRAULICO,2026-04-20T03:22:45.000+0000,2026-04-20T03:22:45.000+0000
a0Act000006IEveEAG,OBRA DE ALCANTARILLADO PLUVIAL,2026-04-20T03:22:45.000+0000,2026-04-20T03:22:45.000+0000
a0Act000006IEvfEAG,XL4-HF-PA-048-22,2026-04-20T03:22:45.000+0000,2026-04-20T03:22:45.000+0000
a0Act000006IEvgEAG,"""CONSTRUCCIÓN DE PLANTA POTABILIZADORA 8 LPS (PUEBLO)""",2026-04-20T03:22:45.000+0000,2026-04-22T23:08:07.000+0000
a0Act000006IEvhEAG,INFRAESTRUCTURA HIDRAULICA HOTEL FARO,2026-04-20T03:22:45.000+0000,2026-04-22T07:09:01.000+0000
a0Act000006IF3ZEAW,REALIZAR LA OBRA CONFORME AL PROGRAMA PRESENTADO POR EL CONTRATISTA (ANEXO 3),2026-04-20T03:24:28.000+0000,2026-04-20T03:24:28.000+0000
a0Act000006IF3aEAG,TRABAJOS COMPLEMENTARIOS MODULO A Y B - CAMPAMENTO TORTUGUERO,2026-04-20T03:24:28.000+0000,2026-04-20T03:24:28.000+0000
a0Act000006IF3bEAG,"CIMENTACION, ESTRUCTURA, INSTALACIONES MODULOS C, E, F - CAMPAMENTO TORTUGUERO",2026-04-20T03:24:28.000+0000,2026-04-21T14:26:23.000+0000
a0Act000006M9fVEAS,PRY-DEMO-Autopista,2026-04-22T14:02:22.000+0000,2026-04-22T14:02:22.000+0000
a0Act000006M9fWEAS,PRY-DEMO-Planta,2026-04-22T14:02:22.000+0000,2026-04-22T14:02:22.000+0000
a0Act000006M9fXEAS,PRY-DEMO-Comercial,2026-04-22T14:02:22.000+0000,2026-04-22T14:02:22.000+0000
