Querying Data... done
Id,Name,Fianza__c,Fianza__r.Name,CreatedDate,LastModifiedDate
a07ct0000gGJ1TJAA1,END - 00001,,,2026-02-24T17:18:05.000+0000,2026-02-24T17:19:26.000+0000
a07ct0000gGRwRuAAL,END - 00002,,,2026-02-24T17:45:30.000+0000,2026-02-24T18:12:49.000+0000
a07ct0000gGdUTFAA3,END - 00003,,,2026-02-24T18:19:52.000+0000,2026-02-24T18:19:52.000+0000
a07ct0000gGwWw2AAF,END - 00004,,,2026-02-24T19:18:03.000+0000,2026-02-24T19:54:43.000+0000
a07ct0000gH9eSJAAZ,END - 00005,,,2026-02-24T19:58:11.000+0000,2026-02-25T03:09:16.000+0000
a07ct0000gJQOOlAAP,END - 00006,,,2026-02-25T03:11:11.000+0000,2026-02-25T03:21:04.000+0000
a07ct0000gJXBjiAAH,END - 00007,,,2026-02-25T03:22:10.000+0000,2026-02-25T03:23:00.000+0000
a07ct0000gJY1PkAAL,END - 00008,,,2026-02-25T03:24:34.000+0000,2026-02-25T03:31:08.000+0000
a07ct0000gJbL75AAF,END - 00009,,,2026-02-25T03:34:27.000+0000,2026-02-25T23:04:18.000+0000
a07ct0000gPYPSLAA5,END - 00010,,,2026-02-25T23:05:54.000+0000,2026-02-25T23:06:46.000+0000
a07ct0000gPcDeAAAV,END - 00011,,,2026-02-25T23:17:06.000+0000,2026-03-25T22:29:28.000+0000
a07ct0000myA2dIAAS,END - 00012,,,2026-04-18T01:13:35.000+0000,2026-04-21T21:16:50.000+0000
a07ct0000nKJD8qAAH,END - 00013,,,2026-04-20T19:09:54.000+0000,2026-04-21T21:16:50.000+0000
